date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03T00:00:00.000Z,111.94,112.5,101.69,104.87,4783900,0.839283413,0.8434820794,0.7624328236,0.7862752503,535797335,0.0,1.0
2000-01-04T00:00:00.000Z,102.5,110.62,101.19,108.25,4574800,0.7685058945,0.8293865566,0.7586840143,0.8116172008,512378112,0.0,1.0
2000-01-05T00:00:00.000Z,104.0,110.56,103.0,103.75,6949300,0.7797523222,0.8289366995,0.7722547038,0.7778779176,778322378,0.0,1.0
2000-01-06T00:00:00.000Z,95.0,107.0,95.0,106.12,6856900,0.7122737559,0.8022451777,0.7122737559,0.7956472734,767973567,0.0,1.0
2000-01-07T00:00:00.000Z,99.5,101.0,95.5,96.5,4113700,0.7460130391,0.7572594668,0.7160225651,0.7235201836,460734860,0.0,1.0
2000-01-10T00:00:00.000Z,97.75,102.25,94.75,102.0,4509500,0.7328922067,0.7666314899,0.7103993513,0.7647570853,505064505,0.0,1.0
2000-01-11T00:00:00.000Z,92.75,99.37,90.5,95.94,3942400,0.6954041143,0.7450383487,0.6785344727,0.7193215173,441549241,0.0,1.0
2000-01-12T00:00:00.000Z,87.19,95.5,86.5,95.0,8714900,0.6537173555,0.7160225651,0.6485439988,0.7122737559,976069776,0.0,1.0
2000-01-13T00:00:00.000Z,96.75,98.75,92.5,94.48,9220400,0.7253945882,0.7403898252,0.6935297097,0.7083749943,1032685832,0.0,1.0
2000-01-14T00:00:00.000Z,100.44,102.25,99.37,100.0,3485500,0.7530608004,0.7666314899,0.7450383487,0.7497618483,390376390,0.0,1.0
2000-01-18T00:00:00.000Z,103.94,106.0,100.44,101.0,4099800,0.7793024651,0.7947475592,0.7530608004,0.7572594668,459178059,0.0,1.0
2000-01-19T00:00:00.000Z,106.56,108.75,103.37,105.62,5336100,0.7989462256,0.81536601,0.7750288226,0.7918984642,597643797,0.0,1.0
2000-01-20T00:00:00.000Z,113.5,121.5,113.5,115.5,16349400,0.8509796978,0.9109606457,0.8509796978,0.8659749348,1831134631,0.0,1.0
2000-01-21T00:00:00.000Z,111.31,114.25,110.19,114.25,4427900,0.8345599134,0.8566029117,0.8261625807,0.8566029117,495925295,0.0,1.0
2000-01-24T00:00:00.000Z,106.25,112.75,105.12,108.44,3936400,0.7966219638,0.845356484,0.7881496549,0.8130417483,440877240,0.0,1.0
2000-01-25T00:00:00.000Z,112.25,113.12,102.37,105.0,4438800,0.8416076747,0.8481306028,0.7675312041,0.7872499407,497146097,0.0,1.0
2000-01-26T00:00:00.000Z,110.19,114.19,109.75,110.0,3278200,0.8261625807,0.8561530546,0.8228636285,0.8247380331,367158767,0.0,1.0
2000-01-27T00:00:00.000Z,110.0,113.0,107.0,108.81,3037000,0.8247380331,0.8472308886,0.8022451777,0.8158158672,340144340,0.0,1.0
2000-01-28T00:00:00.000Z,101.62,110.87,100.62,108.19,3779900,0.7619079903,0.8312609612,0.7544103718,0.8111673437,423349223,0.0,1.0
2000-01-31T00:00:00.000Z,103.75,103.87,94.5,101.0,6265000,0.7778779176,0.7787776318,0.7085249467,0.7572594668,701680701,0.0,1.0
2000-02-01T00:00:00.000Z,100.25,105.0,100.0,104.0,2839600,0.7516362529,0.7872499407,0.7497618483,0.7797523222,318035518,0.0,1.0
2000-02-02T00:00:00.000Z,98.81,102.12,97.0,100.75,4144600,0.7408396823,0.7656567995,0.7272689929,0.7553850622,464195664,0.0,1.0
2000-02-03T00:00:00.000Z,103.31,104.25,100.25,100.31,4242800,0.7745789655,0.7816267269,0.7516362529,0.75208611,475194075,0.0,1.0
2000-02-04T00:00:00.000Z,108.0,110.0,103.62,103.94,3797500,0.8097427962,0.8247380331,0.7769032272,0.7793024651,425320425,0.0,1.0
2000-02-07T00:00:00.000Z,114.06,114.25,105.94,108.0,3938100,0.8551783642,0.8566029117,0.7942977021,0.8097427962,441067641,0.0,1.0
2000-02-08T00:00:00.000Z,114.87,116.12,111.25,114.0,3648600,0.8612514352,0.8706234583,0.8341100563,0.8547285071,408643608,0.0,1.0
2000-02-09T00:00:00.000Z,112.62,117.12,112.44,114.12,2672900,0.8443817936,0.8781210767,0.8430322222,0.8556282213,299365099,0.0,1.0
2000-02-10T00:00:00.000Z,113.5,113.87,110.0,112.87,2705200,0.8509796978,0.8537538167,0.8247380331,0.8462561982,302982702,0.0,1.0
2000-02-11T00:00:00.000Z,108.75,114.12,108.25,113.62,1895100,0.81536601,0.8556282213,0.8116172008,0.8518794121,212251412,0.0,1.0
2000-02-14T00:00:00.000Z,115.81,115.87,108.62,109.31,3281600,0.8682991965,0.8687490536,0.8143913196,0.8195646764,367539567,0.0,1.0
2000-02-15T00:00:00.000Z,119.0,119.94,115.19,115.25,4337000,0.8922165995,0.8992643609,0.8636506731,0.8641005302,485744485,0.0,1.0
2000-02-16T00:00:00.000Z,114.12,118.12,112.12,117.75,3377200,0.8556282213,0.8856186952,0.8406329843,0.8828445764,378246778,0.0,1.0
2000-02-17T00:00:00.000Z,114.87,115.5,113.12,115.19,2584800,0.8612514352,0.8659749348,0.8481306028,0.8636506731,289497889,0.0,1.0
2000-02-18T00:00:00.000Z,111.25,115.37,110.87,114.62,2084300,0.8341100563,0.8650002444,0.8312609612,0.8593770305,233441833,0.0,1.0
2000-02-22T00:00:00.000Z,113.81,116.94,106.69,110.12,3770500,0.8533039596,0.8767715054,0.799920916,0.8256377474,422296422,0.0,1.0
2000-02-23T00:00:00.000Z,116.25,119.0,111.0,113.23,4224100,0.8715981487,0.8922165995,0.8322356516,0.8489553408,473099673,0.0,1.0
2000-02-24T00:00:00.000Z,115.2,119.12,111.75,117.31,3361000,0.8637256493,0.8931163137,0.8378588655,0.8795456243,376432376,0.0,1.0
2000-02-25T00:00:00.000Z,110.37,117.0,110.12,114.81,2224500,0.827512152,0.8772213625,0.8256377474,0.8608015781,249144249,0.0,1.0
2000-02-28T00:00:00.000Z,113.25,115.0,108.37,110.12,2931500,0.8491052932,0.8622261256,0.812516915,0.8256377474,328328328,0.0,1.0
2000-02-29T00:00:00.000Z,114.62,117.25,112.56,113.56,3294300,0.8593770305,0.8790957672,0.8439319365,0.8514295549,368961968,0.0,1.0
2000-03-01T00:00:00.000Z,130.31,132.06,118.5,118.56,9616100,0.9770146645,0.9901354969,0.8884677903,0.8889176474,1077004277,0.0,1.0
2000-03-02T00:00:00.000Z,122.0,127.94,120.69,127.0,2779100,0.9147094549,0.9592453087,0.9048875747,0.9521975474,311259511,0.0,1.0
2000-03-03T00:00:00.000Z,128.0,128.23,120.0,124.87,2887200,0.9596951658,0.9614196181,0.899714218,0.93622762,323366723,0.0,1.0
2000-03-06T00:00:00.000Z,125.69,129.13,125.0,126.0,1880000,0.9423756671,0.9681674747,0.9372023104,0.9446999289,210560210,0.0,1.0
2000-03-07T00:00:00.000Z,122.87,127.44,121.12,126.44,2437600,0.921232383,0.9554964995,0.9081115507,0.947998881,273011473,0.0,1.0
2000-03-08T00:00:00.000Z,122.0,123.94,118.56,122.87,2421700,0.9147094549,0.9292548348,0.8889176474,0.921232383,271230671,0.0,1.0
2000-03-09T00:00:00.000Z,122.25,125.0,118.25,120.87,2470700,0.9165838596,0.9372023104,0.8865933856,0.9062371461,276718676,0.0,1.0
2000-03-10T00:00:00.000Z,125.75,127.94,121.0,121.69,2219700,0.9428255243,0.9592453087,0.9072118365,0.9123851932,248606648,0.0,1.0
2000-03-13T00:00:00.000Z,121.31,126.5,119.5,122.12,2713900,0.9095360982,0.9484487381,0.8959654087,0.9156091692,303957103,0.0,1.0
2000-03-14T00:00:00.000Z,114.25,124.25,114.0,121.22,3826600,0.8566029117,0.9315790965,0.8547285071,0.9088613125,428579628,0.0,1.0
2000-03-15T00:00:00.000Z,116.25,120.25,114.12,115.62,3960800,0.8715981487,0.9015886226,0.8556282213,0.866874649,443610043,0.0,1.0
2000-03-16T00:00:00.000Z,121.56,122.0,114.5,117.31,3375900,0.9114105028,0.9147094549,0.8584773163,0.8795456243,378101178,0.0,1.0
2000-03-17T00:00:00.000Z,125.0,125.0,119.62,120.12,2723600,0.9372023104,0.9372023104,0.896865123,0.9006139322,305043505,0.0,1.0
2000-03-20T00:00:00.000Z,123.0,126.25,122.37,123.5,1825800,0.9222070734,0.9465743335,0.9174835738,0.9259558827,204489804,0.0,1.0
2000-03-21T00:00:00.000Z,134.94,136.75,121.62,122.56,4681500,1.0117286381,1.0252993276,0.9118603599,0.9189081213,524328524,0.0,1.0
2000-03-22T00:00:00.000Z,144.19,144.38,131.56,132.78,5071400,1.0810816091,1.0825061566,0.9863866876,0.9955337822,567997367,0.0,1.0
